From File,To File,Refs
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\DatumWriter.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\Encoder.java,1
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\DatumWriter.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\Schema.java,2
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\DatumReader.java,2
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\Protocol.java,3
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\reflect\ReflectData.java,2
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\ipc\Transceiver.java,6
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificDatumWriter.java,2
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\DatumWriter.java,2
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\reflect\ReflectRequestor.java,3
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\Schema.java,3
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificDatumReader.java,2
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificRequestor.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\specific\SpecificData.java,4
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\BinaryData.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\Decoder.java,20
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\BinaryData.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\BinaryDecoder.java,4
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\BinaryData.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\AvroRuntimeException.java,6
D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\io\BinaryData.java,D:\program\SC_Related\Metric-Tool\example_project\avro-1.2.0\src\java\org\apache\avro\generic\GenericDatumReader.java,3
